tag,fold,ablation,N_liq_logMAE,N_liq_logMAE_liq,Traj_RMSE,Traj_RMSE_continuation,Traj_RMSE_late,Traj_RMSE_liq,Traj_RMSE_stab,Traj_RMSE_nostab,Traj_RMSE_balanced,Traj_RMSE_worst,AUPRC,AUROC,Brier,ECE,Coverage_90,Calibration_Error,Physics_Violation_Rate,Traj_CRPS
grouped,2,wo_censored_nliq,0.26850277185440063,0.4496914744377136,0.09932019293063823,0.09252843126682225,0.10648655146360397,0.10404778271913528,0.0842302069067955,0.12462817132472992,0.10430205365022023,0.12462817132472992,0.994363263197285,0.9896228440563946,0.06864313781261444,0.06984222562211315,0.7699854373931885,0.1237948218981425,0.0,0.04548173145734586
grouped,2,miss_vs,0.2829153537750244,0.48885485529899597,0.09864107418396119,0.09120016238590004,0.10451311618089676,0.10143181681632996,0.0865802988409996,0.12237031012773514,0.10346080859502156,0.12237031012773514,0.9957573597215919,0.9924139411722608,0.06891612708568573,0.07175591397212772,0.7279251217842102,0.16936773856480916,0.0,0.04582284199450707
grouped,2,miss_grainsize,0.2571841776371002,0.44348835945129395,0.09433543183406415,0.08511272114086177,0.09786500781774521,0.0952732041478157,0.08167693018913269,0.12371539324522018,0.10022184252738953,0.12371539324522018,0.9962601423222878,0.9933443068775495,0.06120557710528374,0.06420370191335678,0.7827034592628479,0.10792758862177532,0.0,0.041820182048929795
grouped,2,no_prefix,0.4220598340034485,0.7574037909507751,0.14402137206510374,0.14402137206510374,0.1628672331571579,0.1386907696723938,0.13892145454883575,0.1729802042245865,0.15019747614860535,0.1729802042245865,0.9870844409337254,0.9755242252916339,0.07334951311349869,0.07330798609106522,0.7673367261886597,0.12424896955490113,0.22012578616352202,0.08074378898227032
grouped,2,no_aux,0.25787344574928284,0.4334214925765991,0.09884494216228952,0.09183114507835728,0.10522539168596268,0.1004474088549614,0.08759209513664246,0.12381986528635025,0.10395312309265137,0.12381986528635025,0.9957443375784422,0.9922708079868319,0.06239936128258705,0.06574528806699001,0.7581758499145508,0.13402981360753377,0.0,0.0453363434752012
grouped,3,full,0.9804847240447998,1.229264497756958,0.10320435364430063,0.10308818918756132,0.11258404701948166,0.06013238802552223,0.1542978733778,0.44550952315330505,0.21997992818554243,0.44550952315330505,0.9993446137256612,0.9968017057569297,0.038643572479486465,0.06360808861108473,0.9538924098014832,0.06899987856547037,0.05952380952380952,0.05730461302172973
grouped,3,wo_conformal,0.9804847240447998,1.229264497756958,0.10320435364430063,0.10308818918756132,0.11258404701948166,0.06013238802552223,0.1542978733778,0.44550952315330505,0.21997992818554243,0.44550952315330505,0.9993446137256612,0.9968017057569297,0.038643572479486465,0.06360808861108473,0.9238222241401672,0.04112370808919267,0.05952380952380952,0.05460120904106847
grouped,3,gaussian_posterior,1.0264323949813843,1.2844682931900024,0.11217755709953178,0.1148977981269982,0.12458664178848267,0.061993200331926346,0.17524155974388123,0.4484330117702484,0.22855592394868532,0.4484330117702484,0.9993446137256611,0.9968017057569297,0.04254157096147537,0.06892378407495993,0.9528900980949402,0.06677247285842895,0.03571428571428571,0.0639903404888567
grouped,3,wo_ode,1.4858256578445435,1.8325570821762085,0.12413767562060964,0.13268556559613018,0.13356788456439972,0.11404308676719666,0.1480022370815277,0.17102329432964325,0.14435620605945587,0.17102329432964325,0.9989213595886117,0.9946695095948828,0.05900146812200546,0.08574955772470545,0.9084530472755432,0.015174289544423384,0.0,0.07956610497315765
grouped,3,blackbox_raw,1.8778290748596191,2.344731092453003,0.09303697999472946,0.10136122199055053,0.11102667450904846,0.0721123144030571,0.1355464905500412,0.1374945193529129,0.11505110810200374,0.1374945193529129,1.0,1.0,0.024553151801228523,0.05248850804788095,0.939191460609436,0.04817351897557576,1.0,0.06062981758932745
